Time[s], level
1260,	1260,	0,	reset
1381,	121,	1,	mar
1410,	29,	0,	ch:0-S
1456,	46,	0,	ch:0-7
1467,	11,	0,	ch:0-6
1496,	29,	0,	ch:0-5
1541,	45,	0,	ch:0-4
1582,	41,	0,	ch:0-3
1607,	25,	0,	ch:0-2
1642,	35,	0,	ch:0-1
1652,	10,	0,	ch:0-0
1673,	21,	1,	ch:0-T
1688,	15,	0,	ch:1-S
1718,	30,	0,	ch:1-7
1728,	10,	0,	ch:1-6
1734,	6,	0,	ch:1-5
1765,	31,	0,	ch:1-4
1801,	36,	0,	ch:1-3
1818,	17,	0,	ch:1-2
1847,	29,	1,	ch:1-1
1853,	6,	0,	ch:1-0
1903,	50,	1,	ch:1-T
1935,	32,	0,	ch:2-S
1945,	10,	0,	ch:2-7
1960,	15,	0,	ch:2-6
1979,	19,	0,	ch:2-5
2017,	38,	0,	ch:2-4
2059,	42,	0,	ch:2-3
2096,	37,	0,	ch:2-2
2126,	30,	0,	ch:2-1
2149,	23,	0,	ch:2-0
2186,	37,	1,	ch:2-T
2222,	36,	0,	ch:3-S
2254,	32,	0,	ch:3-7
2291,	37,	0,	ch:3-6
2309,	18,	0,	ch:3-5
2326,	17,	0,	ch:3-4
2338,	12,	0,	ch:3-3
2372,	34,	0,	ch:3-2
2391,	19,	0,	ch:3-1
2424,	33,	0,	ch:3-0
2461,	37,	1,	ch:3-T
2520,	59,	0,	ch:4-S
2557,	37,	0,	ch:4-7
2575,	18,	0,	ch:4-6
2605,	30,	0,	ch:4-5
2612,	7,	0,	ch:4-4
2643,	31,	0,	ch:4-3
2651,	8,	0,	ch:4-2
2697,	46,	0,	ch:4-1
2705,	8,	0,	ch:4-0
2739,	34,	1,	ch:4-T
2757,	18,	0,	ch:5-S
2783,	26,	0,	ch:5-7
2813,	30,	0,	ch:5-6
2832,	19,	0,	ch:5-5
2846,	14,	0,	ch:5-4
2867,	21,	0,	ch:5-3
2901,	34,	0,	ch:5-2
2952,	51,	0,	ch:5-1
2987,	35,	0,	ch:5-0
3131,	144,	1,	ch:5-T
3181,	50,	0,	ch:6-S
3189,	8,	0,	ch:6-7
3219,	30,	0,	ch:6-6
3247,	28,	0,	ch:6-5
3277,	30,	0,	ch:6-4
3312,	35,	0,	ch:6-3
3334,	22,	0,	ch:6-2
3346,	12,	0,	ch:6-1
3362,	16,	0,	ch:6-0
3383,	21,	1,	ch:6-T
3428,	45,	0,	ch:7-S
3442,	14,	0,	ch:7-7
3471,	29,	0,	ch:7-6
3485,	14,	0,	ch:7-5
3496,	11,	0,	ch:7-4
3515,	19,	0,	ch:7-3
3532,	17,	0,	ch:7-2
3558,	26,	0,	ch:7-1
3585,	27,	0,	ch:7-0
3595,	10,	1,	ch:7-T
3615,	20,	0,	ch:8-S
3631,	16,	0,	ch:8-7
3640,	9,	0,	ch:8-6
3653,	13,	0,	ch:8-5
3689,	36,	0,	ch:8-4
3712,	23,	0,	ch:8-3
3739,	27,	0,	ch:8-2
3770,	31,	0,	ch:8-1
3792,	22,	0,	ch:8-0
3820,	28,	1,	ch:8-T
3846,	26,	0,	ch:9-S
3860,	14,	0,	ch:9-7
3877,	17,	0,	ch:9-6
3888,	11,	0,	ch:9-5
3898,	10,	0,	ch:9-4
3911,	13,	0,	ch:9-3
3933,	22,	0,	ch:9-2
3946,	13,	0,	ch:9-1
3965,	19,	0,	ch:9-0
3977,	12,	1,	ch:9-T
4007,	30,	0,	ch:10-S
4015,	8,	0,	ch:10-7
4048,	33,	0,	ch:10-6
4078,	30,	0,	ch:10-5
4113,	35,	0,	ch:10-4
4130,	17,	0,	ch:10-3
4162,	32,	0,	ch:10-2
4194,	32,	0,	ch:10-1
4224,	30,	0,	ch:10-0
4255,	31,	1,	ch:10-T
4276,	21,	0,	ch:11-S
4307,	31,	0,	ch:11-7
4337,	30,	0,	ch:11-6
4372,	35,	0,	ch:11-5
4389,	17,	0,	ch:11-4
4400,	11,	0,	ch:11-3
4434,	34,	0,	ch:11-2
4447,	13,	0,	ch:11-1
4472,	25,	0,	ch:11-0
4489,	17,	1,	ch:11-T
4509,	20,	0,	ch:12-S
4524,	15,	0,	ch:12-7
4532,	8,	0,	ch:12-6
4562,	30,	0,	ch:12-5
4598,	36,	0,	ch:12-4
4632,	34,	0,	ch:12-3
4646,	14,	0,	ch:12-2
4667,	21,	0,	ch:12-1
4687,	20,	0,	ch:12-0
4722,	35,	1,	ch:12-T
4757,	35,	0,	ch:13-S
4769,	12,	0,	ch:13-7
4803,	34,	0,	ch:13-6
4837,	34,	0,	ch:13-5
4853,	16,	0,	ch:13-4
4864,	11,	0,	ch:13-3
4873,	9,	0,	ch:13-2
4886,	13,	0,	ch:13-1
4974,	88,	0,	ch:13-0
4981,	7,	1,	ch:13-T
5018,	37,	0,	ch:14-S
5035,	17,	0,	ch:14-7
5069,	34,	0,	ch:14-6
5084,	15,	0,	ch:14-5
5102,	18,	0,	ch:14-4
5134,	32,	0,	ch:14-3
5164,	30,	0,	ch:14-2
5192,	28,	0,	ch:14-1
5220,	28,	0,	ch:14-0
5250,	30,	1,	ch:14-T
5309,	59,	0,	ch:15-S
5340,	31,	0,	ch:15-7
5348,	8,	0,	ch:15-6
5377,	29,	0,	ch:15-5
5389,	12,	0,	ch:15-4
5410,	21,	0,	ch:15-3
5420,	10,	0,	ch:15-2
5450,	30,	0,	ch:15-1
5487,	37,	0,	ch:15-0
5497,	10,	1,	ch:15-T
5535,	38,	0,	ch:16-S
5564,	29,	0,	ch:16-7
5594,	30,	0,	ch:16-6
5607,	13,	0,	ch:16-5
5622,	15,	0,	ch:16-4
5633,	11,	0,	ch:16-3
5644,	11,	0,	ch:16-2
5655,	11,	0,	ch:16-1
5672,	17,	0,	ch:16-0
5688,	16,	1,	ch:16-T
5706,	18,	0,	ch:17-S
5726,	20,	0,	ch:17-7
5756,	30,	0,	ch:17-6
5793,	37,	0,	ch:17-5
5826,	33,	0,	ch:17-4
5843,	17,	0,	ch:17-3
5853,	10,	0,	ch:17-2
5863,	10,	0,	ch:17-1
5876,	13,	0,	ch:17-0
5894,	18,	1,	ch:17-T
5920,	26,	0,	ch:18-S
5951,	31,	0,	ch:18-7
5972,	21,	0,	ch:18-6
6003,	31,	0,	ch:18-5
6032,	29,	0,	ch:18-4
6069,	37,	0,	ch:18-3
6083,	14,	0,	ch:18-2
6103,	20,	0,	ch:18-1
6136,	33,	0,	ch:18-0
6145,	9,	1,	ch:18-T
6183,	38,	0,	ch:19-S
6210,	27,	0,	ch:19-7
6217,	7,	0,	ch:19-6
6239,	22,	0,	ch:19-5
6253,	14,	0,	ch:19-4
6281,	28,	0,	ch:19-3
6289,	8,	0,	ch:19-2
6316,	27,	0,	ch:19-1
6327,	11,	0,	ch:19-0
6355,	28,	1,	ch:19-T
6388,	33,	0,	ch:20-S
6421,	33,	0,	ch:20-7
6454,	33,	0,	ch:20-6
6482,	28,	0,	ch:20-5
6491,	9,	0,	ch:20-4
6515,	24,	0,	ch:20-3
6527,	12,	0,	ch:20-2
6557,	30,	0,	ch:20-1
6592,	35,	0,	ch:20-0
6624,	32,	1,	ch:20-T
6654,	30,	0,	ch:21-S
6666,	12,	0,	ch:21-7
6701,	35,	0,	ch:21-6
6742,	41,	0,	ch:21-5
6779,	37,	0,	ch:21-4
6811,	32,	0,	ch:21-3
6822,	11,	0,	ch:21-2
6857,	35,	0,	ch:21-1
6883,	26,	0,	ch:21-0
6897,	14,	1,	ch:21-T
6931,	34,	0,	ch:22-S
6961,	30,	0,	ch:22-7
6994,	33,	0,	ch:22-6
7013,	19,	0,	ch:22-5
7024,	11,	0,	ch:22-4
7031,	7,	0,	ch:22-3
7038,	7,	0,	ch:22-2
7065,	27,	0,	ch:22-1
7077,	12,	0,	ch:22-0
7099,	22,	1,	ch:22-T
7132,	33,	0,	ch:23-S
7159,	27,	0,	ch:23-7
7165,	6,	0,	ch:23-6
7190,	25,	0,	ch:23-5
7198,	8,	0,	ch:23-4
7220,	22,	0,	ch:23-3
7235,	15,	0,	ch:23-2
7255,	20,	0,	ch:23-1
7264,	9,	0,	ch:23-0
7273,	9,	1,	ch:23-T
7314,	41,	0,	ch:24-S
7333,	19,	0,	ch:24-7
7358,	25,	0,	ch:24-6
7389,	31,	0,	ch:24-5
7409,	20,	0,	ch:24-4
7438,	29,	0,	ch:24-3
7479,	41,	0,	ch:24-2
7508,	29,	0,	ch:24-1
7523,	15,	0,	ch:24-0
7542,	19,	1,	ch:24-T
7569,	27,	0,	ch:25-S
7577,	8,	0,	ch:25-7
7621,	44,	0,	ch:25-6
7645,	24,	0,	ch:25-5
7652,	7,	0,	ch:25-4
7696,	44,	0,	ch:25-3
7720,	24,	0,	ch:25-2
7727,	7,	0,	ch:25-1
7770,	43,	0,	ch:25-0
7794,	24,	1,	ch:25-T
7843,	49,	0,	ch:26-S
7872,	29,	0,	ch:26-7
7887,	15,	0,	ch:26-6
7908,	21,	0,	ch:26-5
7931,	23,	0,	ch:26-4
7939,	8,	0,	ch:26-3
7953,	14,	0,	ch:26-2
